07/24 21:26:00.381 Normal:  Status: 2.75 GB downloaded (1.537% complete) current rate:  12.0 MB/s
07/24 21:26:05.424 Normal:  Status: 2.82 GB downloaded (1.574% complete) current rate:  8.98 MB/s
07/24 21:26:10.461 Normal:  Status: 2.83 GB downloaded (1.581% complete) current rate:  4.29 MB/s
07/24 21:26:15.505 Normal:  Status: 2.87 GB downloaded (1.606% complete) current rate:  4.76 MB/s
07/24 21:26:20.506 Normal:  Status: 2.89 GB downloaded (1.613% complete) current rate:  1.56 MB/s
07/24 21:26:25.518 Normal:  Status: 2.90 GB downloaded (1.622% complete) current rate:  512 kB/s
07/24 21:26:30.555 Normal:  Status: 2.94 GB downloaded (1.640% complete) current rate:  1.83 MB/s
07/24 21:26:35.609 Normal:  Status: 2.99 GB downloaded (1.670% complete) current rate:  5.60 MB/s
07/24 21:26:40.616 Normal:  Status: 2.99 GB downloaded (1.670% complete) current rate:  5.11 MB/s
07/24 21:26:45.628 Normal:  Status: 3.00 GB downloaded (1.677% complete) current rate:  6.03 MB/s
07/24 21:26:50.664 Normal:  Status: 3.05 GB downloaded (1.705% complete) current rate:  3.66 MB/s
07/24 21:26:55.673 Normal:  Status: 3.11 GB downloaded (1.736% complete) current rate:  6.37 MB/s
07/24 21:27:00.673 Normal:  Status: 3.14 GB downloaded (1.753% complete) current rate:  8.04 MB/s
07/24 21:27:05.723 Normal:  Status: 3.14 GB downloaded (1.753% complete) current rate:  9.93 MB/s
07/24 21:27:10.720 Normal:  Status: 3.19 GB downloaded (1.784% complete) current rate:  9.36 MB/s
07/24 21:27:15.824 Normal:  Status: 3.24 GB downloaded (1.809% complete) current rate:  7.83 MB/s
07/24 21:27:20.845 Normal:  Status: 3.27 GB downloaded (1.828% complete) current rate:  10.8 MB/s
07/24 21:27:25.865 Normal:  Status: 3.28 GB downloaded (1.834% complete) current rate:  14.9 MB/s
07/24 21:27:30.863 Normal:  Status: 3.30 GB downloaded (1.844% complete) current rate:  6.55 MB/s
07/24 21:27:35.878 Normal:  Status: 3.34 GB downloaded (1.864% complete) current rate:  6.18 MB/s
07/24 21:27:40.909 Normal:  Status: 3.37 GB downloaded (1.882% complete) current rate:  6.25 MB/s
07/24 21:27:45.917 Normal:  Status: 3.45 GB downloaded (1.924% complete) current rate:  10.0 MB/s
07/24 21:27:50.959 Normal:  Status: 3.46 GB downloaded (1.933% complete) current rate:  9.89 MB/s
07/24 21:27:55.969 Normal:  Status: 3.46 GB downloaded (1.933% complete) current rate:  6.02 MB/s
07/24 21:28:01.013 Normal:  Status: 3.54 GB downloaded (1.976% complete) current rate:  3.91 MB/s
07/24 21:28:06.020 Normal:  Status: 3.54 GB downloaded (1.976% complete) current rate:  3.75 MB/s
07/24 21:28:11.026 Normal:  Status: 3.57 GB downloaded (1.995% complete) current rate:  2.40 MB/s
07/24 21:28:16.039 Normal:  Status: 3.61 GB downloaded (2.014% complete) current rate:  787 kB/s
